"Name","Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","wRC+","BsR","Off","Def","WAR","playerid"
"Mike Tauchman","Yankees","34","108","4","16","13","1","12.0 %","30.6 %",".200",".276",".211",".306",".411",".309","90","0.2","-1.2","1.5","0.4","15274"
"Joe Panik","Giants","49","200","3","20","17","1","10.5 %","10.5 %",".109",".261",".246",".330",".354",".302","88","-1.6","-4.9","2.5","0.4","11936"
"Jose Abreu","White Sox","56","240","15","28","49","2","6.7 %","24.6 %",".268",".275",".255",".304",".523",".339","113","-2.4","1.6","-6.0","0.4","15676"
"Nick Senzel","Reds","25","120","4","19","11","5","10.0 %","25.8 %",".187",".347",".271",".345",".458",".343","110","-0.2","1.3","-1.2","0.4","19293"
"J.D. Davis","Mets","47","149","6","18","16","0","9.4 %","21.5 %",".178",".289",".252",".322",".430",".323","104","0.7","1.5","-2.5","0.4","16219"
"Tony Wolters","Rockies","37","132","1","15","18","0","6.8 %","15.2 %",".127",".337",".297",".336",".424",".313","77","-0.1","-4.0","3.5","0.4","11470"
"Asdrubal Cabrera","Rangers","47","185","9","25","31","1","9.7 %","23.2 %",".209",".248",".227",".308",".436",".316","89","-0.9","-3.4","0.5","0.4","4962"
"Colin Moran","Pirates","52","153","6","13","27","0","7.8 %","25.5 %",".171",".323",".264",".320",".436",".320","98","0.6","0.3","-1.7","0.4","16909"
"Marwin Gonzalez","Twins","47","190","5","21","17","1","9.5 %","23.7 %",".123",".289",".234",".311",".357",".293","79","0.1","-4.9","1.8","0.3","5497"
"Jorge Soler","Royals","56","230","14","27","39","0","6.1 %","30.0 %",".259",".290",".245",".296",".505",".333","106","0.4","2.1","-6.9","0.3","14221"
"Dwight Smith Jr.","Orioles","53","218","9","28","31","4","5.0 %","19.7 %",".202",".281",".256",".298",".458",".318","97","0.2","-0.6","-3.7","0.3","13473"
"Todd Frazier","Mets","32","112","3","10","10","1","5.4 %","26.8 %",".144",".310",".240",".295",".385",".293","85","-0.3","-2.5","2.2","0.3","785"
"Brian McCann","Braves","26","105","3","9","19","0","10.5 %","10.5 %",".148",".278",".284",".352",".432",".329","101","-0.6","-0.4","0.3","0.3","4810"
"Victor Robles","Nationals","54","217","8","34","22","9","5.5 %","25.3 %",".183",".295",".241",".318",".424",".319","94","1.7","0.1","-3.9","0.3","18363"
"Robbie Grossman","Athletics","47","172","3","21","15","5","13.4 %","18.6 %",".135",".254",".216",".320",".351",".297","85","0.7","-2.4","-0.9","0.3","5254"
"Rio Ruiz","Orioles","52","180","4","14","14","0","10.6 %","20.6 %",".106",".283",".238",".317",".344",".292","79","-1.7","-6.4","2.6","0.2","14103"
"Yan Gomes","Nationals","37","131","2","8","16","0","9.2 %","25.2 %",".103",".317",".239",".321",".342",".291","76","-0.3","-4.4","2.6","0.2","9627"
"Tucker Barnhart","Reds","46","145","5","16","17","0","11.7 %","26.2 %",".142",".238",".197",".292",".339",".276","66","-0.3","-6.7","4.4","0.2","10200"
"Brandon Nimmo","Mets","43","161","3","20","14","1","16.1 %","29.8 %",".123",".288",".200",".344",".323",".301","90","1.4","-0.6","-2.2","0.2","12927"
