Season,Name,Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,wRC+,BsR,Off,Def,WAR,playerid
1945,Tommy Holmes,Braves,154,713,28,125,117,15,9.80%,1.30%,0.225,0.327,0.352,0.42,0.577,0.463,171,2.6,63.2,-4.6,8.7,1005980
2008,Albert Pujols,Cardinals,148,641,37,100,116,7,16.20%,8.40%,0.296,0.34,0.357,0.462,0.653,0.459,184,-0.2,67.7,-1,8.7,1177
1935,Lou Gehrig,Yankees,149,672,30,125,119,8,19.60%,5.70%,0.254,0.313,0.329,0.466,0.583,0.471,171,-1.8,64.6,2.6,8.7,1004598
2000,Darin Erstad,Angels,157,747,25,121,100,28,8.60%,11.00%,0.186,0.375,0.355,0.409,0.541,0.408,140,2,42.2,22.2,8.7,11
1964,Ron Santo,Cubs,161,686,30,94,114,3,12.50%,14.00%,0.252,0.328,0.313,0.398,0.564,0.417,164,-0.7,48.8,6.9,8.7,1011447
1953,Eddie Mathews,Braves,157,681,47,110,135,1,14.50%,12.20%,0.325,0.285,0.302,0.406,0.627,0.451,167,-0.4,59.8,4.9,8.7,1008236
1905,Cy Seymour,Reds,149,643,8,95,121,21,7.90%,,0.182,,0.377,0.429,0.559,0.466,174,-1,55.4,0.3,8.7,1011777
1988,Wade Boggs,Red Sox,155,719,5,128,58,2,17.40%,4.70%,0.123,0.379,0.366,0.476,0.49,0.427,167,-1.6,54.2,2.6,8.6,1001124
2004,J.D. Drew,Braves,145,645,31,118,93,12,18.30%,18.00%,0.264,0.34,0.305,0.436,0.569,0.429,162,5.5,56.9,10.2,8.6,1152
1979,Fred Lynn,Red Sox,147,622,39,116,122,2,13.20%,12.70%,0.303,0.33,0.333,0.423,0.637,0.456,174,-0.2,56.4,7.2,8.6,1007872
2013,Miguel Cabrera,Tigers,148,652,44,103,137,3,13.80%,14.40%,0.288,0.356,0.348,0.442,0.636,0.455,193,-6,62.6,-4,8.6,1744
1974,Joe Morgan,Reds,149,641,22,107,67,58,18.70%,10.80%,0.201,0.3,0.293,0.427,0.494,0.417,162,7.2,52.2,7.3,8.6,1009179
1951,Stan Musial,Cardinals,152,678,32,124,108,4,14.50%,5.90%,0.26,0.342,0.355,0.449,0.614,0.475,180,-0.6,66.9,-4.8,8.6,1009405
1977,Rod Carew,Twins,155,694,14,128,100,23,9.90%,7.90%,0.182,0.408,0.388,0.449,0.57,0.44,175,0,61.5,-1.1,8.6,1001942
1913,Tris Speaker,Red Sox,141,608,3,94,71,46,10.70%,3.60%,0.169,0.376,0.363,0.441,0.533,0.458,180,3.8,59,0.6,8.6,1012309
1906,Terry Turner,Naps,147,643,2,85,62,27,5.40%,,0.08,,0.291,0.338,0.372,0.346,121,0.8,14.7,43.1,8.6,1013233
1998,Barry Bonds,Giants,156,697,37,120,122,28,18.70%,13.20%,0.306,0.303,0.303,0.438,0.609,0.434,170,0.4,62,3.1,8.5,1109
1934,Charlie Gehringer,Tigers,154,708,11,134,127,11,14.00%,3.50%,0.161,0.359,0.356,0.45,0.517,0.442,149,-1.8,47.3,15.8,8.5,1004596
1938,Arky Vaughan,Pirates,148,650,7,88,68,14,16.00%,3.20%,0.122,0.326,0.322,0.433,0.444,0.411,150,2.5,41.5,27.1,8.5,1013377
1935,Jimmie Foxx,Athletics,147,649,36,118,115,6,17.60%,15.30%,0.29,0.373,0.346,0.461,0.636,0.485,175,-0.8,66.8,-0.3,8.5,1004285
1948,Ted Williams,Red Sox,137,638,25,124,127,4,19.70%,6.40%,0.246,0.368,0.369,0.497,0.615,0.504,183,0.4,69.1,-5.8,8.5,1014040
1983,Cal Ripken,Orioles,162,726,27,121,102,0,8.00%,13.40%,0.199,0.338,0.318,0.371,0.517,0.392,146,-1.7,37.6,20,8.5,1010978
1939,Joe DiMaggio,Yankees,120,524,30,108,126,3,9.90%,3.80%,0.29,0.354,0.381,0.448,0.671,0.495,180,0.3,58.6,9.6,8.5,1003311
1966,Willie Mays,Giants,152,629,37,99,103,5,11.10%,12.90%,0.268,0.279,0.288,0.368,0.556,0.397,151,0.9,38.7,18.8,8.5,1008315
1937,Lou Gehrig,Yankees,157,700,37,138,159,4,18.10%,7.00%,0.292,0.337,0.351,0.473,0.643,0.494,176,-1.1,75.8,-12.8,8.5,1004598
1966,Ron Santo,Cubs,155,672,30,93,94,4,14.10%,11.60%,0.226,0.315,0.312,0.412,0.538,0.412,157,-0.7,43.8,11,8.5,1011447
2010,Josh Hamilton,Rangers,133,571,32,95,100,8,7.50%,16.60%,0.274,0.39,0.359,0.411,0.633,0.445,175,4.9,55.3,5.9,8.5,1875
1912,Honus Wagner,Pirates,145,634,7,91,102,26,9.30%,6.00%,0.172,0.339,0.324,0.395,0.496,0.419,139,0.3,33.2,28.8,8.5,1013485
1998,Mark McGwire,Cardinals,155,681,70,130,147,1,23.80%,22.80%,0.454,0.285,0.299,0.47,0.752,0.492,205,0.2,90.6,-25.1,8.5,1008559
1993,Ken Griffey Jr.,Mariners,156,691,45,113,109,17,13.90%,13.20%,0.308,0.298,0.309,0.408,0.617,0.43,164,-0.2,54.2,8,8.4,327
1957,Willie Mays,Giants,152,668,35,112,97,38,11.40%,9.30%,0.292,0.324,0.333,0.407,0.626,0.439,170,0.6,57.1,3.1,8.4,1008315
1963,Hank Aaron,Braves,161,714,44,121,130,31,10.90%,13.20%,0.268,0.315,0.319,0.391,0.586,0.42,178,4.6,65,-13.9,8.4,1000001
1915,Benny Kauff,Tip-Tops,136,581,12,92,83,55,14.60%,8.60%,0.168,0.363,0.342,0.446,0.509,0.456,175,10.5,59.4,-0.4,8.4,1006715
1903,Honus Wagner,Pirates,129,571,5,97,101,46,7.70%,,0.162,,0.355,0.414,0.518,0.434,154,4.6,45.2,16.1,8.4,1013485
1989,Rickey Henderson,- - -,150,674,12,113,57,77,18.70%,10.10%,0.126,0.292,0.274,0.411,0.399,0.373,138,9.6,39.2,18.1,8.4,194
1954,Ted Williams,Red Sox,117,526,29,93,89,0,25.90%,6.10%,0.29,0.317,0.345,0.513,0.635,0.507,207,0.6,66.1,-1.7,8.4,1014040
2009,Albert Pujols,Cardinals,160,700,47,124,135,16,16.40%,9.10%,0.331,0.299,0.327,0.443,0.658,0.447,180,1.6,70.5,-8.8,8.4,1177
2007,David Wright,Mets,160,711,30,113,107,34,13.20%,16.20%,0.222,0.356,0.325,0.416,0.546,0.413,151,6.4,53.4,8.7,8.4,3787
1982,Gary Carter,Expos,154,653,29,91,97,2,11.90%,9.80%,0.217,0.284,0.293,0.381,0.51,0.388,150,-1.6,34.9,23.3,8.4,1002015
1960,Willie Mays,Giants,153,669,29,107,103,25,9.10%,10.50%,0.235,0.319,0.319,0.381,0.555,0.404,155,1.3,44.4,14,8.3,1008315
1959,Eddie Mathews,Braves,148,682,46,118,114,2,11.70%,10.40%,0.286,0.284,0.306,0.39,0.593,0.426,166,0.3,57,-0.2,8.3,1008236
1922,George Sisler,Browns,142,654,8,134,105,51,7.50%,2.10%,0.174,0.422,0.42,0.467,0.594,0.481,170,3.8,64.9,-0.1,8.3,1012021
1930,Joe Cronin,Senators,154,686,13,127,126,17,10.50%,5.20%,0.167,0.353,0.346,0.422,0.513,0.418,139,-1.6,36.4,29.5,8.3,1002796
1961,Willie Mays,Giants,154,659,40,129,123,18,12.30%,11.70%,0.276,0.296,0.308,0.393,0.584,0.417,156,0.1,46.3,14,8.3,1008315
1914,Eddie Collins,Athletics,152,657,2,122,85,58,14.80%,4.70%,0.108,0.363,0.344,0.452,0.452,0.436,172,-2.1,48.4,1,8.3,1002451
1937,Joe Medwick,Cardinals,156,677,31,111,154,4,6.10%,7.40%,0.267,0.373,0.374,0.414,0.641,0.467,180,0.4,67.8,-3.7,8.3,1008719
1912,Eddie Collins,Athletics,153,673,0,137,64,63,15.00%,,0.087,,0.348,0.45,0.435,0.428,158,5.8,53.6,6,8.3,1002451
1976,Mike Schmidt,Phillies,160,705,38,112,107,14,14.20%,21.10%,0.262,0.285,0.262,0.376,0.524,0.406,151,-0.7,39.5,13.9,8.3,1011586
1954,Duke Snider,Dodgers,149,679,40,120,130,6,12.40%,14.10%,0.307,0.35,0.341,0.423,0.647,0.47,170,-0.6,60.5,-1.9,8.3,1012230
1938,Jimmie Foxx,Red Sox,149,685,50,139,175,5,17.40%,11.10%,0.356,0.335,0.349,0.462,0.704,0.508,173,-1.1,73,-12.4,8.3,1004285
2000,Todd Helton,Rockies,160,697,42,138,147,5,14.80%,8.80%,0.326,0.357,0.372,0.463,0.698,0.476,162,-0.3,58.1,6.4,8.3,432
1989,Wade Boggs,Red Sox,156,742,3,113,54,2,14.40%,6.90%,0.119,0.352,0.33,0.43,0.449,0.391,143,-2.3,34.3,19.6,8.3,1001124
2004,Jim Edmonds,Cardinals,153,612,42,102,111,8,16.50%,24.50%,0.341,0.344,0.301,0.418,0.643,0.436,168,2.9,56.3,8.2,8.3,1153
2014,Mike Trout,Angels,157,705,36,115,111,16,11.80%,26.10%,0.274,0.349,0.287,0.377,0.561,0.402,167,6.2,57.8,-4.5,8.3,10155
2016,Mookie Betts,Red Sox,158,730,31,122,113,26,6.70%,11.00%,0.216,0.322,0.318,0.363,0.534,0.379,136,10.6,41.8,14,8.3,13611
1985,George Brett,Royals,155,665,30,108,112,9,15.50%,7.40%,0.251,0.321,0.335,0.436,0.585,0.431,168,1.2,55.5,1.8,8.3,1001400
2011,Matt Kemp,Dodgers,161,689,39,115,126,40,10.70%,23.10%,0.262,0.38,0.324,0.399,0.586,0.413,168,5.6,59.9,-2.7,8.3,5631
1937,Hank Greenberg,Tigers,154,701,40,137,183,8,14.60%,14.40%,0.332,0.353,0.337,0.436,0.668,0.483,164,-0.2,65,-4.7,8.3,1004996
1979,George Brett,Royals,154,701,23,119,107,17,7.30%,5.10%,0.234,0.32,0.329,0.376,0.563,0.402,146,-0.5,38.7,19.1,8.3,1001400
1944,Lou Boudreau,Indians,150,681,3,91,67,11,10.70%,5.70%,0.11,0.347,0.327,0.406,0.437,0.398,147,0.6,37.1,18.2,8.3,1001234
1959,Hank Aaron,Braves,154,693,39,116,123,8,7.40%,7.80%,0.281,0.338,0.355,0.401,0.636,0.44,175,1.8,67.1,-11.7,8.2,1000001
1962,Frank Robinson,Reds,162,701,39,134,136,18,10.80%,8.80%,0.282,0.329,0.342,0.421,0.624,0.447,171,0,62.4,-5.8,8.2,1011066
1947,Ralph Kiner,Pirates,152,666,51,118,127,1,14.70%,12.20%,0.326,0.291,0.313,0.417,0.639,0.472,169,0.1,58.2,-0.6,8.2,1006923
1995,John Valentin,Red Sox,135,621,27,108,102,20,13.00%,10.80%,0.235,0.296,0.298,0.399,0.533,0.405,138,1.6,32.6,30.4,8.2,1375
1964,Dick Allen,Phillies,162,708,29,125,91,3,9.50%,19.50%,0.239,0.368,0.318,0.382,0.557,0.405,162,-0.7,48.7,1.9,8.2,1000137
2009,Joe Mauer,Twins,138,606,28,94,96,4,12.50%,10.40%,0.222,0.373,0.365,0.444,0.587,0.438,170,-2.1,50.8,10,8.2,1857
1970,Tony Perez,Reds,158,681,40,107,129,8,12.20%,19.70%,0.273,0.348,0.317,0.401,0.589,0.427,162,0.6,52.9,2.3,8.2,1010188
2017,Aaron Judge,Yankees,155,678,52,128,114,9,18.70%,30.70%,0.343,0.357,0.284,0.422,0.627,0.43,172,0,60.5,-1.3,8.2,15640
2000,Troy Glaus,Angels,159,678,47,120,102,14,16.50%,24.00%,0.32,0.319,0.284,0.404,0.604,0.424,150,-2.2,43.7,19,8.2,15
1920,Eddie Collins,White Sox,153,706,3,117,76,20,9.80%,2.70%,0.121,0.381,0.372,0.438,0.493,0.435,145,3.5,45.1,9.7,8.2,1002451
1966,Frank Robinson,Orioles,155,680,49,122,122,8,12.80%,13.20%,0.321,0.3,0.316,0.41,0.637,0.447,195,0.1,71.2,-16.5,8.2,1011066
2008,Chase Utley,Phillies,159,707,33,113,104,14,9.10%,14.70%,0.244,0.301,0.292,0.38,0.535,0.389,134,7.2,37.6,21.8,8.2,1679
2009,Chase Utley,Phillies,156,687,31,112,93,23,12.80%,16.00%,0.226,0.3,0.282,0.397,0.508,0.394,141,12.3,46.8,13.4,8.2,1679
1971,Willie Stargell,Pirates,141,606,48,104,125,0,13.70%,25.40%,0.333,0.328,0.295,0.398,0.628,0.445,186,0.1,57.2,-3.7,8.2,1012426
1930,Bill Terry,Giants,154,710,23,139,129,8,8.00%,4.60%,0.218,0.4,0.401,0.452,0.619,0.468,156,1.5,64.1,2.3,8.2,1012927
2011,Jose Bautista,Blue Jays,149,655,43,105,103,9,20.20%,16.90%,0.306,0.309,0.302,0.447,0.608,0.443,181,4.9,66.3,-11.1,8.1,1887
1989,Lonnie Smith,Braves,134,577,21,89,79,25,13.20%,16.50%,0.218,0.351,0.315,0.415,0.533,0.42,166,0.1,42.1,17.1,8.1,1012176
1962,Hank Aaron,Braves,156,667,45,127,128,15,9.90%,10.90%,0.296,0.304,0.323,0.39,0.618,0.43,165,0.2,54.5,2.2,8.1,1000001
1976,Graig Nettles,Yankees,158,657,32,88,93,11,9.40%,14.30%,0.221,0.251,0.254,0.328,0.475,0.365,136,-0.2,24.9,30.9,8.1,1009517
1996,Chuck Knoblauch,Twins,153,701,13,140,72,45,14.00%,10.60%,0.176,0.37,0.341,0.448,0.517,0.422,145,2.5,46.3,12.5,8.1,609
2006,Albert Pujols,Cardinals,143,634,49,119,137,7,14.50%,7.90%,0.34,0.292,0.331,0.431,0.671,0.447,174,1.6,63,-0.1,8.1,1177
1993,John Olerud,Blue Jays,158,679,24,109,107,0,16.80%,9.60%,0.236,0.375,0.363,0.473,0.599,0.454,179,-0.6,65.7,-6.4,8.1,1093
1964,Brooks Robinson,Orioles,163,685,28,82,118,1,7.40%,9.30%,0.204,0.313,0.317,0.368,0.521,0.384,145,0.4,36,21,8.1,1011055
2014,Jonathan Lucroy,Brewers,153,655,13,73,69,4,10.10%,10.80%,0.164,0.324,0.301,0.373,0.465,0.368,133,-1.9,22.3,31.8,8.1,7870
1998,John Olerud,Mets,160,665,22,91,93,2,14.40%,11.00%,0.197,0.373,0.354,0.447,0.551,0.43,167,-0.5,55.7,5.8,8.1,1093
1932,Lou Gehrig,Yankees,156,708,34,138,151,4,15.30%,5.40%,0.272,0.332,0.349,0.451,0.621,0.472,174,-4.2,69.3,-10.7,8.1,1004598
1989,Will Clark,Giants,159,675,23,104,111,8,11.00%,15.30%,0.213,0.368,0.333,0.407,0.546,0.416,174,0.1,55,-0.4,8.1,1002318
2013,Andrew McCutchen,Pirates,157,674,21,97,84,27,11.60%,15.00%,0.19,0.353,0.317,0.404,0.508,0.393,156,6.4,49.1,5.5,8.1,9847
1932,Mel Ott,Giants,154,673,38,119,123,6,14.90%,5.80%,0.283,0.29,0.318,0.424,0.601,0.451,174,1.1,64.6,-2.7,8.1,1009904
2018,Jose Ramirez,Indians,157,698,39,110,105,34,15.20%,11.50%,0.282,0.252,0.27,0.387,0.552,0.391,146,12,50.6,4.6,8,13510
2007,Magglio Ordonez,Tigers,157,679,28,117,139,4,11.20%,11.60%,0.232,0.381,0.363,0.434,0.595,0.438,169,-1.4,57.8,1.1,8,248
1961,Rocky Colavito,Tigers,163,708,45,129,140,1,16.00%,10.60%,0.29,0.263,0.29,0.402,0.58,0.424,153,-0.3,47.3,10.2,8,1002404
1929,Jimmie Foxx,Athletics,149,638,33,123,118,9,16.10%,11.00%,0.271,0.362,0.354,0.463,0.625,0.48,176,-1.8,64.7,-1.8,8,1004285
1961,Jim Gentile,Orioles,148,601,46,96,141,1,16.00%,17.60%,0.344,0.295,0.302,0.423,0.646,0.453,180,0,61,-0.4,8,1004612
1929,Mel Ott,Giants,150,674,42,138,151,6,16.80%,5.60%,0.306,0.295,0.328,0.449,0.635,0.475,162,0.9,62.6,0.6,8,1009904
1930,Hack Wilson,Cubs,155,709,56,146,191,3,14.80%,11.80%,0.368,0.342,0.356,0.454,0.723,0.497,171,0.5,79.5,-11.9,8,1014083
1916,Tris Speaker,Indians,151,647,2,102,79,35,12.70%,3.10%,0.115,0.399,0.386,0.47,0.502,0.464,182,-4.9,50.8,-2.7,8,1012309
1997,Jeff Bagwell,Astros,162,717,43,109,135,31,17.70%,17.00%,0.306,0.291,0.286,0.425,0.592,0.424,163,1.9,59.1,-0.6,8,547
1984,Ryne Sandberg,Cubs,156,700,19,114,84,32,7.40%,14.40%,0.206,0.348,0.314,0.367,0.52,0.39,142,3.6,36.4,16.7,8,1011411
1974,Johnny Bench,Reds,160,708,33,108,129,5,11.30%,12.70%,0.227,0.281,0.28,0.363,0.507,0.387,142,-0.4,33.7,18.4,8,1000826
1972,Dick Allen,White Sox,148,609,37,90,113,19,16.30%,20.70%,0.294,0.344,0.308,0.42,0.603,0.45,199,1.1,61.4,-10.2,8,1000137
1975,Mike Schmidt,Phillies,158,674,38,93,95,29,15.00%,26.70%,0.274,0.296,0.249,0.367,0.523,0.397,142,1.3,33.7,20.1,7.9,1011586
1936,Mel Ott,Giants,150,660,33,120,135,6,16.80%,6.20%,0.26,0.309,0.328,0.448,0.588,0.464,180,0.8,68,-4.4,7.9,1009904
1929,Al Simmons,Athletics,143,629,34,114,157,4,4.90%,6.00%,0.277,0.35,0.365,0.398,0.642,0.454,160,-0.4,51.4,9.9,7.9,1011978
1906,Art Devlin,Giants,148,591,2,76,65,54,12.50%,,0.09,,0.299,0.396,0.39,0.386,142,5.6,32,19.6,7.9,1003248
1969,Willie McCovey,Giants,149,623,45,101,126,0,19.40%,10.60%,0.336,0.289,0.32,0.453,0.656,0.466,194,0.2,67.5,-16.6,7.9,1008423
2011,Dustin Pedroia,Red Sox,159,731,21,102,91,26,11.80%,11.60%,0.167,0.325,0.307,0.387,0.474,0.375,133,2.1,30,20.5,7.9,8370
1954,Eddie Mathews,Braves,138,601,40,96,103,10,18.80%,10.10%,0.313,0.257,0.29,0.423,0.603,0.452,168,1.3,53.3,4.1,7.9,1008236
1970,Johnny Bench,Reds,158,671,45,97,148,5,8.00%,15.20%,0.294,0.281,0.293,0.345,0.587,0.399,144,0.4,37.3,15.8,7.9,1000826
1931,Al Simmons,Athletics,128,563,22,105,128,3,8.30%,8.00%,0.251,0.399,0.39,0.444,0.641,0.484,176,-0.9,56.8,3.6,7.9,1011978
2007,Curtis Granderson,Tigers,158,676,23,122,74,26,7.70%,20.90%,0.25,0.36,0.302,0.361,0.552,0.388,136,9.9,40,17.5,7.9,4747
2006,Grady Sizemore,Indians,162,751,28,134,76,22,10.40%,20.40%,0.243,0.339,0.29,0.375,0.533,0.383,132,9.2,40.5,15.2,7.9,2197
1913,Frank Baker,Athletics,149,644,12,116,117,34,9.80%,4.80%,0.156,0.342,0.337,0.413,0.493,0.43,164,1.2,48.1,3.6,7.9,1000453
1963,Eddie Mathews,Braves,158,675,23,82,84,3,18.40%,17.60%,0.19,0.297,0.263,0.399,0.453,0.376,148,-0.6,34.4,14.9,7.9,1008236
2005,Andruw Jones,Braves,160,672,51,95,128,5,9.50%,16.70%,0.312,0.24,0.263,0.347,0.575,0.383,134,-0.9,27.9,28.5,7.9,96
1998,Alex Rodriguez,Mariners,161,748,42,123,124,46,6.00%,16.20%,0.249,0.324,0.31,0.36,0.56,0.394,135,3.6,37.8,16.5,7.9,1274
2016,Kris Bryant,Cubs,155,699,39,121,102,8,10.70%,22.00%,0.262,0.332,0.292,0.385,0.554,0.396,148,7.1,48.7,6.3,7.8,15429
1952,Jackie Robinson,Dodgers,149,636,19,104,75,24,16.70%,6.30%,0.157,0.306,0.308,0.44,0.465,0.423,152,2.9,42.2,10.5,7.8,1011070
2006,Carlos Beltran,Mets,140,617,41,127,116,18,15.40%,16.00%,0.32,0.263,0.275,0.388,0.594,0.408,148,9.3,48.3,12.3,7.8,589
1949,Ralph Kiner,Pirates,152,667,54,116,127,6,17.50%,9.10%,0.348,0.267,0.31,0.432,0.658,0.484,180,1,67.2,-10.6,7.8,1006923
1980,Rickey Henderson,Athletics,158,722,9,111,53,100,16.20%,7.50%,0.096,0.32,0.303,0.42,0.399,0.377,136,9.6,40.5,10.7,7.8,194
1999,Jeff Bagwell,Astros,162,729,42,143,126,30,20.40%,17.40%,0.286,0.323,0.304,0.454,0.591,0.442,166,1,66.3,-6.8,7.8,547
1972,Cesar Cedeno,Astros,139,625,22,103,82,55,9.00%,9.90%,0.216,0.328,0.32,0.385,0.537,0.413,163,3.8,46.7,0.3,7.8,1002100
1938,Hank Greenberg,Tigers,155,681,58,144,146,7,17.50%,13.50%,0.369,0.288,0.315,0.438,0.683,0.489,162,-1.1,61.1,-5.7,7.8,1004996
2001,Alex Rodriguez,Rangers,162,732,52,133,135,18,10.20%,17.90%,0.304,0.325,0.318,0.399,0.622,0.425,159,2.3,56.6,-1.9,7.8,1274
1943,Luke Appling,White Sox,155,677,3,63,80,27,13.30%,4.30%,0.079,0.342,0.328,0.419,0.407,0.398,146,2.1,35.8,12.6,7.8,1000284
1979,Dave Winfield,Padres,159,686,34,97,118,15,12.40%,10.30%,0.25,0.304,0.308,0.395,0.558,0.407,161,-0.4,48.9,4.4,7.8,1014127
1954,Minnie Minoso,White Sox,153,675,19,119,116,18,11.40%,6.80%,0.215,0.319,0.32,0.411,0.535,0.424,158,-0.2,45.3,9.7,7.8,1008984
1955,Ernie Banks,Cubs,154,646,44,98,117,9,7.00%,11.10%,0.3,0.273,0.295,0.345,0.596,0.406,142,1,34.9,23.5,7.8,1000512
1994,Jeff Bagwell,Astros,110,479,39,104,116,15,13.60%,13.60%,0.383,0.353,0.368,0.451,0.75,0.488,205,1.3,66.3,-1.5,7.8,547
2004,Albert Pujols,Cardinals,154,692,46,133,123,5,12.10%,7.50%,0.326,0.298,0.331,0.415,0.657,0.442,171,1,64.7,-8.1,7.8,1177
2010,Carl Crawford,Rays,154,663,19,110,90,47,6.90%,15.70%,0.188,0.342,0.307,0.356,0.495,0.369,134,13.3,40.2,11.1,7.8,1201
2001,Bret Boone,Mariners,158,690,37,118,141,5,5.80%,15.90%,0.247,0.346,0.331,0.372,0.578,0.397,149,-1.2,41.2,14.1,7.8,1067
1916,Ty Cobb,Tigers,145,636,5,113,68,68,12.30%,6.10%,0.122,0.394,0.371,0.452,0.493,0.452,177,2.8,54.1,-8.6,7.8,1002378
1991,Barry Bonds,Pirates,153,634,25,95,116,43,16.90%,11.50%,0.222,0.292,0.292,0.41,0.514,0.396,155,3.4,43,11.4,7.8,1109
1988,Mike Greenwell,Red Sox,158,693,22,86,119,16,12.60%,5.50%,0.205,0.317,0.325,0.416,0.531,0.412,157,-0.5,45.1,5.2,7.8,1005006
1985,Pedro Guerrero,Dodgers,137,581,33,99,87,12,14.30%,11.70%,0.257,0.315,0.32,0.422,0.577,0.429,181,0.6,53.9,1.6,7.8,1005120
1981,Mike Schmidt,Phillies,102,434,31,78,91,12,16.80%,16.40%,0.328,0.318,0.316,0.435,0.644,0.467,198,0.9,47.4,9.6,7.8,1011586
1952,Stan Musial,Cardinals,154,676,21,105,91,7,14.20%,4.30%,0.202,0.328,0.336,0.432,0.538,0.443,166,-0.5,51.9,-1.5,7.8,1009405
1973,Bobby Grich,Orioles,162,700,12,82,50,17,15.30%,13.00%,0.136,0.279,0.251,0.373,0.387,0.352,123,0.3,18.4,32.9,7.8,1005033
2013,Yadier Molina,Cardinals,136,541,12,68,80,3,5.50%,10.20%,0.158,0.338,0.319,0.359,0.477,0.362,133,-2.5,17.5,38.2,7.8,7007
1929,Babe Ruth,Yankees,135,587,46,121,154,5,12.30%,10.20%,0.353,0.321,0.345,0.43,0.697,0.486,184,-0.6,66.9,-4.7,7.8,1011327
2014,Buster Posey,Giants,147,605,22,72,89,0,7.80%,11.40%,0.179,0.319,0.311,0.364,0.49,0.371,142,-3.5,25.4,27,7.8,9166
1996,Jeff Bagwell,Astros,162,719,31,111,120,21,18.80%,15.90%,0.255,0.345,0.315,0.451,0.57,0.433,173,0.8,67.5,-7.8,7.7,547
1978,Jim Rice,Red Sox,163,746,46,121,139,7,7.80%,16.90%,0.285,0.327,0.315,0.37,0.6,0.425,162,-0.4,51.2,-2.9,7.7,1010897
1986,Wade Boggs,Red Sox,149,693,8,107,71,0,15.20%,6.30%,0.129,0.374,0.357,0.453,0.486,0.414,153,-1.7,43.1,8.9,7.7,1001124
1995,Barry Bonds,Giants,144,635,33,109,104,31,18.90%,13.10%,0.283,0.294,0.294,0.431,0.577,0.425,163,1.7,52.2,5.5,7.7,1109
1939,Johnny Mize,Cardinals,153,670,28,104,108,0,13.70%,7.30%,0.277,0.347,0.349,0.444,0.626,0.475,178,-0.3,65.5,-6.6,7.7,1009014
1961,Al Kaline,Tigers,153,665,19,116,82,14,9.90%,6.30%,0.191,0.323,0.324,0.393,0.515,0.399,137,2.7,34.1,21.9,7.7,1006678
1930,Babe Herman,Robins,153,699,35,143,130,18,9.40%,8.00%,0.285,0.394,0.393,0.455,0.678,0.487,167,3.5,76.7,-12.6,7.7,1005691
2005,Albert Pujols,Cardinals,161,700,41,129,117,16,13.90%,9.30%,0.279,0.316,0.33,0.43,0.609,0.432,167,4.9,64.1,-9.9,7.7,1177
1940,Hank Greenberg,Tigers,148,670,41,129,150,6,13.90%,11.20%,0.33,0.337,0.34,0.433,0.67,0.482,168,-0.4,62.2,-8.4,7.7,1004996
1967,Roberto Clemente,Pirates,147,632,23,103,110,9,6.50%,16.30%,0.197,0.403,0.357,0.4,0.554,0.418,170,1.8,50.4,-3.7,7.7,1002340
1917,Ray Chapman,Indians,156,691,2,98,36,52,8.80%,9.40%,0.107,0.339,0.302,0.37,0.409,0.376,130,6.5,27.7,17.6,7.7,1002151
1920,Joe Jackson,White Sox,146,649,12,105,121,9,8.60%,2.20%,0.207,0.379,0.382,0.444,0.589,0.474,167,-0.7,56.2,-4.3,7.7,1006301
1983,Wade Boggs,Red Sox,153,685,5,100,73,3,13.40%,5.30%,0.125,0.374,0.361,0.444,0.486,0.416,155,-0.7,43.3,7.9,7.7,1001124
1955,Duke Snider,Dodgers,148,653,42,126,136,9,15.90%,13.30%,0.32,0.299,0.309,0.418,0.628,0.445,164,-0.5,52.1,5.1,7.7,1012230
1906,Frank Chance,Cubs,136,574,3,103,71,57,12.20%,,0.112,,0.319,0.419,0.43,0.415,160,6.2,42.6,6.8,7.7,1002131
2000,Jason Giambi,Athletics,152,664,43,108,137,2,20.60%,14.50%,0.314,0.335,0.333,0.476,0.647,0.471,183,0.5,75.2,-15.7,7.7,818
1953,Roy Campanella,Dodgers,144,590,41,103,142,4,11.40%,9.80%,0.299,0.288,0.312,0.395,0.611,0.441,154,0.5,42.4,15.6,7.7,1001871
1965,Ron Santo,Cubs,164,704,33,88,101,3,12.50%,15.50%,0.225,0.299,0.285,0.378,0.51,0.39,145,0.2,36.8,11,7.7,1011447
2007,Albert Pujols,Cardinals,158,679,32,99,103,2,14.60%,8.50%,0.241,0.317,0.327,0.429,0.568,0.419,155,-4.9,43.2,13.1,7.7,1177
1960,Eddie Mathews,Braves,153,671,39,108,124,7,16.50%,16.80%,0.274,0.281,0.277,0.397,0.551,0.415,165,0.5,52.3,-1.2,7.7,1008236
1950,Eddie Stanky,Giants,152,691,8,115,51,9,20.80%,7.20%,0.112,0.32,0.3,0.46,0.412,0.417,141,1.5,38.2,18.7,7.7,1012406
1935,Mel Ott,Giants,152,683,31,113,114,7,12.00%,8.50%,0.233,0.317,0.322,0.407,0.555,0.431,159,1.1,52.5,3.4,7.7,1009904
2007,Chase Utley,Phillies,132,613,22,104,103,9,8.20%,14.50%,0.234,0.362,0.332,0.41,0.566,0.419,150,4.6,44,14.4,7.7,1679
