Season,Name,Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,wRC+,BsR,Off,Def,WAR,playerid
2001,Jason Giambi,Athletics,154,671,38,109,120,2,19.20%,12.40%,0.317,0.343,0.342,0.477,0.66,0.465,193,0.3,79.1,-7.9,9.2,818
1972,Johnny Bench,Reds,147,652,40,87,125,6,15.30%,12.90%,0.271,0.246,0.27,0.379,0.541,0.402,156,-0.8,39.4,20,9.2,1000826
2003,Alex Rodriguez,Rangers,161,715,47,124,118,17,12.20%,17.60%,0.301,0.305,0.298,0.396,0.6,0.416,151,4.3,50.3,18.2,9.2,1274
1996,Barry Bonds,Giants,158,675,42,122,129,40,22.40%,11.30%,0.308,0.289,0.308,0.461,0.615,0.446,179,4.6,72.1,3.5,9.2,1109
1977,Mike Schmidt,Phillies,154,667,38,114,101,15,15.60%,18.30%,0.3,0.282,0.274,0.393,0.574,0.415,155,0.3,44.5,23.6,9.2,1011586
1923,Harry Heilmann,Tigers,144,626,18,121,115,9,11.80%,6.40%,0.229,0.414,0.403,0.481,0.632,0.503,189,0.7,74.3,-1.1,9.2,1005590
1949,Stan Musial,Cardinals,157,721,36,128,123,3,14.80%,5.30%,0.286,0.318,0.338,0.438,0.624,0.477,177,0.4,69.8,-1.6,9.2,1009405
1931,Lou Gehrig,Yankees,155,738,46,163,184,17,15.90%,7.60%,0.321,0.319,0.341,0.446,0.662,0.488,184,-2,82,-14.7,9.2,1004598
1912,Joe Jackson,Naps,154,653,3,121,90,35,8.30%,,0.184,,0.395,0.458,0.579,0.483,186,1.1,69.5,-0.9,9.1,1006301
1912,Ty Cobb,Tigers,140,609,7,120,83,61,7.10%,,0.175,,0.409,0.456,0.584,0.485,187,6.5,71.1,-1.5,9.1,1002378
1937,Joe DiMaggio,Yankees,151,692,46,151,167,3,9.20%,5.30%,0.327,0.314,0.346,0.412,0.673,0.474,165,0.2,65.3,4.1,9.1,1003311
1953,Al Rosen,Indians,155,688,43,115,145,8,12.40%,7.00%,0.277,0.311,0.336,0.422,0.613,0.456,178,-0.6,65.9,1.9,9.1,1011208
1912,Frank Baker,Athletics,149,644,10,116,130,40,7.80%,,0.194,,0.347,0.404,0.541,0.441,166,3,54.8,13.6,9.1,1000453
1997,Larry Walker,Rockies,153,664,49,143,130,33,11.70%,13.60%,0.354,0.367,0.366,0.452,0.72,0.488,177,3.2,68,3.4,9.1,455
1980,George Brett,Royals,117,515,24,87,118,15,11.30%,4.30%,0.274,0.368,0.39,0.454,0.664,0.478,198,0.5,59.7,9.6,9.1,1001400
2005,Alex Rodriguez,Yankees,162,715,48,124,130,21,12.70%,19.40%,0.289,0.347,0.321,0.421,0.61,0.436,174,2.2,66.6,-0.2,9.1,1274
1997,Mike Piazza,Dodgers,152,633,40,104,124,5,10.90%,12.20%,0.277,0.363,0.362,0.431,0.638,0.452,183,0.6,66.9,5.5,9.1,893
1955,Willie Mays,Giants,152,670,51,123,127,24,11.80%,9.00%,0.34,0.282,0.319,0.4,0.659,0.45,172,3.7,63.8,6.1,9,1008315
2004,Scott Rolen,Cardinals,142,593,34,109,124,4,12.10%,15.50%,0.284,0.323,0.314,0.409,0.598,0.422,159,4.4,49.3,23.4,9,970
1928,Rogers Hornsby,Braves,140,619,21,99,94,5,17.30%,6.60%,0.245,0.394,0.387,0.498,0.632,0.506,196,0.6,78.7,-6.7,9,1006030
1944,Snuffy Stirnweiss,Yankees,154,723,8,125,43,55,10.10%,12.00%,0.142,0.359,0.319,0.389,0.46,0.397,141,6.3,39.8,21.7,9,1012546
1951,Jackie Robinson,Dodgers,153,642,19,106,88,25,12.30%,4.20%,0.19,0.331,0.338,0.429,0.527,0.436,155,2.3,46.8,20.6,9,1011070
1997,Ken Griffey Jr.,Mariners,157,704,56,125,147,15,10.80%,17.20%,0.342,0.291,0.304,0.382,0.646,0.421,154,1.3,50,16.8,9,327
1990,Lenny Dykstra,Phillies,149,691,9,106,60,33,12.90%,6.90%,0.115,0.341,0.325,0.418,0.441,0.384,139,4.3,35.4,27.2,9,1003619
1913,Eddie Collins,Athletics,148,652,3,125,73,55,13.00%,5.70%,0.109,0.366,0.345,0.441,0.453,0.429,164,4.6,51.6,11,9,1002451
1904,Honus Wagner,Pirates,132,558,4,97,75,53,10.60%,,0.171,,0.349,0.423,0.52,0.444,178,6.3,54.6,4.9,9,1013485
1980,Mike Schmidt,Phillies,150,652,48,104,121,12,13.70%,18.30%,0.338,0.277,0.286,0.38,0.624,0.428,172,0.3,53.2,11.9,9,1011586
1969,Reggie Jackson,Athletics,152,677,47,123,118,13,16.80%,21.00%,0.333,0.288,0.275,0.41,0.608,0.442,179,1,62.9,0.1,8.9,1006308
1906,George Stone,Browns,154,658,6,91,71,35,7.90%,,0.143,,0.358,0.417,0.501,0.441,182,1.3,57.8,-1.6,8.9,1012564
2001,Luis Gonzalez,Diamondbacks,162,728,57,128,142,1,13.70%,11.40%,0.363,0.297,0.325,0.429,0.688,0.454,173,-0.3,69.5,-2.3,8.9,55
1987,Wade Boggs,Red Sox,147,667,24,108,89,1,15.70%,7.20%,0.225,0.361,0.363,0.461,0.588,0.443,171,-1.4,58.6,8.7,8.9,1001124
1977,George Foster,Reds,158,689,52,124,149,6,8.90%,15.50%,0.311,0.313,0.32,0.382,0.631,0.43,165,0.1,54.4,10.4,8.9,1004250
1901,Nap Lajoie,Athletics,131,582,14,145,125,27,4.10%,,0.217,,0.426,0.463,0.643,0.506,186,0.5,72.1,0.7,8.9,1007259
1961,Hank Aaron,Braves,155,671,34,115,120,21,8.30%,9.50%,0.267,0.317,0.327,0.381,0.594,0.41,153,0.7,45.5,20,8.9,1000001
1945,Snuffy Stirnweiss,Yankees,152,717,10,107,64,33,10.90%,8.60%,0.168,0.33,0.309,0.385,0.476,0.404,148,-0.4,37.2,24.6,8.9,1012546
2008,Brian McCann,Braves,145,573,23,68,87,5,9.90%,11.20%,0.222,0.306,0.301,0.373,0.523,0.386,135,-4.8,20.5,50.1,8.9,4810
1997,Barry Bonds,Giants,159,690,40,123,101,37,21.00%,12.60%,0.293,0.28,0.291,0.446,0.585,0.43,165,4,61.2,6.9,8.9,1109
1970,Carl Yastrzemski,Red Sox,161,697,40,125,102,23,18.40%,9.50%,0.263,0.316,0.329,0.452,0.592,0.455,179,-0.3,65.1,-1.5,8.9,1014326
1985,Wade Boggs,Red Sox,161,758,8,107,78,2,12.70%,8.00%,0.11,0.396,0.368,0.45,0.478,0.415,156,-0.4,50.9,9,8.8,1001124
1953,Duke Snider,Dodgers,153,680,42,132,126,16,12.10%,13.20%,0.292,0.341,0.336,0.419,0.627,0.459,165,0.9,59,7.1,8.8,1012230
1904,Nap Lajoie,Naps,140,594,6,92,102,29,4.50%,,0.175,,0.376,0.413,0.552,0.454,196,1.5,61.4,-4.4,8.8,1007259
1942,Joe Gordon,Yankees,147,625,18,88,103,12,12.60%,15.20%,0.169,0.365,0.322,0.409,0.491,0.423,152,-0.2,38.4,22.4,8.8,1004874
1958,Mickey Mantle,Yankees,150,654,42,127,97,18,19.70%,18.30%,0.287,0.323,0.304,0.443,0.592,0.446,187,2.9,68.6,-5.9,8.8,1008082
1934,Jimmie Foxx,Athletics,150,652,44,120,130,11,17.00%,11.50%,0.319,0.324,0.334,0.449,0.653,0.484,171,1,65.6,2.1,8.8,1004285
1946,Stan Musial,Cardinals,156,702,16,124,103,7,10.40%,4.40%,0.221,0.367,0.365,0.434,0.587,0.468,187,1,68.2,-8.7,8.8,1009405
1972,Joe Morgan,Reds,149,680,16,122,73,58,16.90%,6.50%,0.143,0.292,0.292,0.417,0.435,0.392,150,5.8,43.2,10.7,8.7,1009179
1958,Ernie Banks,Cubs,154,682,47,119,129,4,7.60%,12.80%,0.301,0.297,0.313,0.366,0.614,0.416,151,-0.4,42.8,19.3,8.7,1000512
1920,Tris Speaker,Indians,150,674,8,137,107,10,14.40%,1.90%,0.174,0.388,0.388,0.483,0.562,0.483,171,-0.4,61.6,-0.7,8.7,1012309
2009,Ben Zobrist,Rays,152,599,27,91,91,17,15.20%,17.40%,0.246,0.326,0.297,0.405,0.543,0.407,152,4.6,43.7,22.3,8.7,7435
2015,Josh Donaldson,Blue Jays,158,711,41,122,123,6,10.30%,18.70%,0.271,0.314,0.297,0.371,0.568,0.398,154,4,48.8,10.1,8.7,5038
1932,Babe Ruth,Yankees,133,589,41,120,137,2,22.10%,10.50%,0.319,0.325,0.341,0.489,0.661,0.501,192,-0.6,74.7,-5.7,8.7,1011327
1923,Tris Speaker,Indians,150,693,17,133,130,8,13.40%,2.20%,0.23,0.371,0.38,0.469,0.61,0.489,178,-0.3,71.1,-4.7,8.7,1012309
1938,Mel Ott,Giants,150,652,36,116,116,2,18.10%,7.20%,0.271,0.288,0.311,0.442,0.583,0.459,181,0.1,64.4,6.5,8.7,1009904
